UE d5aa: dlsch_rounds 165806/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00000 MCS (0) 15
UE d5aa: dlsch_rounds 165874/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00000 MCS (0) 7
UE d5aa: dlsch_rounds 165921/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00000 MCS (0) 14
UE d5aa: dlsch_rounds 167039/10477/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.15082 MCS (0) 16
UE d5aa: dlsch_rounds 168656/10601/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.20458 MCS (0) 22
UE d5aa: dlsch_rounds 170377/10637/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.06874 MCS (0) 18
UE d5aa: dlsch_rounds 171912/10826/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.15376 MCS (0) 21
UE d5aa: dlsch_rounds 173625/10856/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.04960 MCS (0) 15
UE d5aa: dlsch_rounds 175342/10856/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.01261 MCS (0) 15
UE d5aa: dlsch_rounds 175406/10856/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00320 MCS (0) 14
UE d5aa: dlsch_rounds 175464/10856/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00091 MCS (0) 12
UE d5aa: dlsch_rounds 175498/10856/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00023 MCS (0) 7
UE d5aa: dlsch_rounds 175644/10856/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00006 MCS (0) 14
UE d5aa: dlsch_rounds 177389/10858/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00048 MCS (0) 15
UE d5aa: dlsch_rounds 178905/10861/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.00012 MCS (0) 22
UE d5aa: dlsch_rounds 180429/11046/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.09661 MCS (0) 18
UE d5aa: dlsch_rounds 182074/11149/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.09214 MCS (0) 22
UE d5aa: dlsch_rounds 183671/11299/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.08652 MCS (0) 21
UE d5aa: dlsch_rounds 185343/11390/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.06163 MCS (0) 21
UE d5aa: dlsch_rounds 187006/11479/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.05524 MCS (0) 21
UE d5aa: dlsch_rounds 188670/11576/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.05965 MCS (0) 21
UE d5aa: dlsch_rounds 189397/11618/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.12276 MCS (0) 22
UE d5aa: dlsch_rounds 189462/11628/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.14084 MCS (0) 20
UE d5aa: dlsch_rounds 189564/11651/5/4, dlsch_errors 3, pucch0_DTX 12, BLER 0.11580 MCS (0) 22
